plant	inflorescence	flower	table	plate	JD233	JD249	JD260	JD274	JD287	JD304	JD317	JD331	JD344	JD358	JD372	JD386	JD399
62	b	r	2	B	7	0	6	0	1	2	1	0	0	0	0	0	0
62	r	g	2	A	0	0	0	0	0	0	0	0	0	0	0	0	0
62	r	g	2	B	0	0	0	0	0	0	0	0	0	0	0	0	0
64	b	r	2	A	2	3	0	0	0	0	0	0	1	0	0	0	0
65	b	g	2	A	1	6	0	0	0	2	5	1	2	1	0	0	1
65	b	g	2	B	2	5	9	0	0	2	0	0	0	0	0	0	0
65	b	r	2	A	3	2	6	1	0	4	0	0	0	0	0	0	0
67	b	g	2	A	6	4	3	1	0	3	4	0	0	0	0	0	0
67	b	g	2	B	1	17	6	0	0	0	0	0	0	0	0	0	0
67	w	r	2	A	1	12	7	0	0	5	0	0	0	0	0	0	0
67	w	r	2	B	1	11	4	0	0	0	0	2	0	0	0	0	0
68	w	g	2	A	0	1	11	3	2	4	2	0	0	0	0	0	0
68	w	g	2	B	0	3	4	3	0	4	5	0	0	0	0	0	0
68	g	w	2	A	3	0	10	0	6	2	1	0	0	0	0	0	0
68	g	w	2	B	3	9	2	1	0	7	1	0	0	0	0	0	0
68	rd	r	2	A	5	7	4	0	0	8	1	0	0	0	0	0	0
68	rd	r	2	B	2	11	7	0	1	0	0	0	0	0	0	0	0
69	w	g	2	A	2	2	4	1	0	14	0	5	0	0	0	0	0
69	w	g	2	B	0	4	2	0	4	7	3	2	0	0	0	0	0
69	w	r	2	A	2	2	4	1	0	2	4	0	0	0	0	0	0
69	w	r	2	B	4	3	2	0	0	9	4	0	0	0	0	0	0
70	b	g	2	A	1	1	2	1	1	13	4	0	0	0	0	0	0
70	b	g	2	B	0	16	7	0	0	0	0	0	0	0	0	0	0
70	o	r	2	A	4	3	0	0	0	0	0	0	0	0	0	0	0
70	o	r	2	B	1	2	1	0	0	0	0	0	0	0	0	0	0
72	b	g	2	A	8	5	0	0	0	4	5	0	0	0	0	0	0
72	b	g	2	B	9	6	0	0	0	1	0	0	0	0	0	0	0
73	b	w	2	A	4	7	10	1	0	1	0	0	0	0	0	0	0
73	b	w	2	B	11	0	0	0	1	0	0	0	0	0	0	0	0
73	w	g	2	A	16	5	1	0	3	0	0	0	0	0	0	0	0
